key	value
96,0,,16,1601,2951,1636,3130	100,,)
96,0,,17,2264,3139,2308,3308	98,,(
96,0,,17,2109,3139,2238,3308	100,0,) 
96,0,,18,2112,3317,2173,3491	99,,، 
96,0,,18,876,3317,924,3491	100,,، 
96,0,,19,2215,3504,2285,3660	100,,: 
96,0,,19,1673,3504,1744,3660	100,,: 
96,0,,19,1236,3504,1260,3660	99,,:
96,0,,20,2256,3669,2337,3849	100,, 
97,0,,1,1757,97,1884,200	100,,- 
97,0,,1,1830,97,1884,200	96,97, 
97,0,,1,1683,97,1947,200	85,,-
97,0,,2,2723,411,2787,592	100,,. 
97,0,,2,1131,411,1188,592	76,,: 
97,0,,2,347,411,379,592	98,4,
97,0,,3,2644,603,2698,764	100,,. 
97,0,,3,2187,603,2217,764	95,,(
97,0,,3,2072,603,2144,764	94,,) 
97,0,,3,1493,603,1553,764	100,,؛ 
97,0,,3,506,603,530,764	83,,:
97,0,,4,890,773,957,947	88,,، 
97,0,,5,1179,956,1229,1134	100,,. 
97,0,,6,2211,1143,2272,1317	77,,: 
97,0,,6,1891,1143,1909,1317	99,,(
97,0,,6,1767,1143,1847,1317	100,,) 
97,0,,6,1144,1143,1168,1317	100,,(
97,0,,6,1033,1143,1106,1317	100,,) 
97,0,,7,3117,1326,3187,1489	100,,(
97,0,,7,3013,1326,3077,1489	93,3, 
97,0,,7,2909,1326,3014,1489	100,,- 
97,0,,7,1246,1326,1316,1489	100,,. 
97,0,,8,2748,1498,2811,1665	100,,، 
97,0,,8,1550,1498,1613,1665	99,,. 
97,0,,9,2921,1674,2982,1842	100,,، 
97,0,,10,2196,1851,2258,2021	100,,. 
97,0,,10,1943,1851,1978,2021	100,,(
97,0,,10,1854,1851,1909,2021	81,,) 
97,0,,10,613,1851,667,2021	100,,، 
97,0,,11,1904,2030,1924,2213	58,,(
97,0,,11,1766,2030,1865,2213	82,,) 
97,0,,12,2767,2222,2797,2376	96,,.
97,0,,14,1627,2658,1690,2850	100,,، 
97,0,,15,2772,2861,2834,3045	100,,. 
97,0,,15,501,2861,526,3045	99,,.
97,0,,16,2348,3058,2415,3244	100,,! 
97,0,,17,2139,3253,2199,3436	97,,، 
97,0,,18,2117,3451,2182,3638	100,,، 
97,0,,19,2502,3657,2628,3826	97,51,) 
97,0,,19,2170,3657,2257,3826	74,,، 
98,0,,1,1638,97,1748,195	100,, 
98,0,,1,1712,97,1711,195	100,9, 
98,0,,1,1537,97,1802,195	62,,-
98,0,,2,2641,446,2703,614	100,,، 
98,0,,2,1608,446,1706,614	99,,- 
98,0,,2,549,446,642,614	100,,- 
98,0,,3,2374,623,2400,781	100,,(
98,0,,3,2268,623,2335,781	98,,) 
98,0,,3,1786,623,1865,781	99,,. 
98,0,,3,477,623,544,781	91,,، 
98,0,,4,649,790,679,934	100,,(
98,0,,4,525,790,605,934	100,,) 
98,0,,5,2336,943,2396,1097	100,,. 
98,0,,6,2057,1106,2120,1258	95,,. 
98,0,,6,612,1106,693,1258	100,,، 
98,0,,7,3033,1267,3183,1418	80,6, 
98,0,,7,1849,1267,1911,1418	98,,. 
98,0,,7,1570,1267,1604,1418	100,,(
98,0,,7,1439,1267,1535,1418	100,,) 
98,0,,8,2575,1427,2661,1585	82,,، 
98,0,,8,1929,1427,2023,1585	94,,(
98,0,,8,1817,1427,1891,1585	100,4, 
98,0,,8,1723,1427,1816,1585	97,,- 
98,0,,9,2780,1594,2835,1742	100,,، 
98,0,,9,1328,1594,1352,1742	100,,(
98,0,,9,1229,1594,1284,1742	100,,) 
98,0,,9,728,1594,789,1742	98,,، 
98,0,,10,3037,1751,3181,1900	94,7, 
98,0,,10,1394,1751,1458,1900	99,,: 
98,0,,10,621,1751,691,1900	95,,. 
98,0,,11,1706,1909,1774,2061	74,,، 
98,0,,11,1062,1909,1118,2061	85,,. 
98,0,,12,2409,2070,2435,2219	100,,(
98,0,,12,2297,2070,2370,2219	82,,) 
98,0,,12,2205,2070,2297,2219	76,,. 
98,0,,13,2666,2228,2748,2381	98,,. 
98,0,,14,2843,2390,2874,2540	96,,، 
98,0,,14,1372,2390,1403,2540	100,,،
98,0,,15,2806,2549,2863,2707	100,,) 
98,0,,15,2151,2549,2172,2707	83,,،
98,0,,15,1554,2549,1576,2707	100,,.
98,0,,15,920,2549,964,2707	100,,، 
98,0,,16,2498,2716,2524,2864	100,,(
98,0,,16,2388,2716,2460,2864	100,,) 
98,0,,16,1725,2716,1796,2864	100,,، 
98,0,,16,944,2716,1002,2864	100,,. 
98,0,,16,345,2716,371,2864	70,,:
98,0,,17,2373,2873,2404,3045	100,,«
98,0,,17,2112,2873,2175,3045	100,,» 
98,0,,17,962,2873,993,3045	69,,«
98,0,,17,345,2873,370,3045	100,,»
99,0,,1,1676,99,1796,197	90,,- 
99,0,,1,1602,99,1836,197	97,99,-
99,0,,2,2702,422,2751,597	95,,«
99,0,,2,2348,422,2376,597	100,,(
99,0,,2,2157,422,2306,597	83,,)» 
99,0,,2,428,422,456,597	84,,،
99,0,,3,2060,606,2120,759	99,,. 
99,0,,5,2852,923,2915,1079	100,,، 
99,0,,5,1938,923,1995,1079	98,,. 
99,0,,6,2426,1088,2486,1237	100,,. 
99,0,,6,2140,1088,2206,1237	82,,: 
99,0,,6,2085,1088,2139,1237	61,,«
99,0,,6,1001,1088,1073,1237	100,,» 
99,0,,6,428,1088,452,1237	90,,،
99,0,,7,2559,1246,2594,1416	100,,(
99,0,,7,2468,1246,2524,1416	99,,) 
99,0,,7,1303,1246,1338,1416	100,,(
99,0,,7,1198,1246,1268,1416	92,,) 
99,0,,7,1170,1246,1198,1416	97,,.
99,0,,8,2441,1749,2511,1937	99,9, 
99,0,,8,2302,1749,2442,1937	97,,- 
99,0,,10,2038,2352,2097,2512	100,,. 
99,0,,10,969,2352,1041,2512	100,,: 
99,0,,10,930,2352,969,2512	100,,«
99,0,,11,1756,2521,1854,2678	99,4,) 
99,0,,11,873,2521,940,2678	100,,، 
99,0,,12,1841,2687,1902,2835	99,,» 
99,0,,12,1174,2687,1248,2835	100,,. 
99,0,,13,2785,2844,2845,2990	90,,. 
99,0,,13,2497,2844,2531,2990	80,,(
99,0,,13,2377,2844,2457,2990	99,,) 
99,0,,13,1024,2844,1077,2990	100,,(
99,0,,13,944,2844,1011,2990	100,6, 
99,0,,13,535,2844,635,2990	100,,، 
99,0,,14,1371,2999,1437,3151	95,,: 
99,0,,14,1323,2999,1371,3151	98,,«
99,0,,15,2777,3160,2853,3311	100,,» 
99,0,,15,2714,3160,2777,3311	86,,، 
99,0,,15,962,3160,1031,3311	100,,، 
99,0,,16,2727,3320,2796,3480	100,,. 
99,0,,16,2281,3320,2315,3480	100,,(
99,0,,16,2173,3320,2247,3480	100,,) 
99,0,,16,1747,3320,1808,3480	99,,، 
99,0,,16,428,3320,456,3480	67,,:
99,0,,17,2303,3489,2387,3633	78,,. 
99,0,,18,2750,3642,2808,3797	100,,، 
99,0,,18,428,3642,447,3797	71,,،
100,0,,1,1582,99,1707,191	55,, 
100,0,,1,1634,99,1675,191	99,15, 
100,0,,1,1473,99,1715,191	100,, 
100,0,,3,1584,620,1656,773	100,,. 
100,0,,4,1948,782,2012,930	99,,: 
100,0,,4,1742,782,1774,930	100,,(
100,0,,4,1632,782,1697,930	86,,) 
100,0,,4,327,782,353,930	84,,.
100,0,,6,2673,1104,2707,1254	100,,(
100,0,,6,2572,1104,2633,1254	100,,) 
100,0,,6,1574,1104,1636,1254	100,,: 
100,0,,6,761,1104,829,1254	100,,. 
100,0,,7,2358,1263,2410,1421	100,,، 
100,0,,7,1432,1263,1498,1421	100,,. 
100,0,,7,903,1263,989,1421	100,,(
100,0,,7,784,1263,863,1421	88,5, 
100,0,,7,691,1263,783,1421	100,,- 
100,0,,8,1471,1430,1537,1580	100,,، 
100,0,,8,327,1430,351,1580	54,,،
100,0,,9,2126,1589,2185,1736	100,,. 
100,0,,9,1840,1589,1870,1736	100,,(
100,0,,9,1746,1589,1799,1736	100,,) 
100,0,,10,2640,1745,2702,1904	94,,، 
100,0,,10,1594,1745,1621,1904	100,,(
100,0,,10,1463,1745,1552,1904	94,,) 
100,0,,10,1203,1745,1265,1904	97,,. 
100,0,,11,974,1913,1030,2069	88,,. 
100,0,,12,2739,2078,2771,2226	100,,(
100,0,,12,2655,2078,2700,2226	97,,) 
100,0,,12,1096,2078,1154,2226	100,,. 
100,0,,12,327,2078,353,2226	66,,:
100,0,,13,2518,2235,2543,2382	100,,(
100,0,,13,2410,2235,2480,2382	96,,) 
100,0,,13,1788,2235,1857,2382	100,,، 
100,0,,13,823,2235,885,2382	99,,، 
100,0,,14,3003,2391,3128,2546	96,, 
100,0,,14,1787,2391,1855,2546	86,,: 
100,0,,14,1743,2391,1787,2546	76,,«
100,0,,15,1887,2555,1978,2707	100,,، 
100,0,,15,1797,2555,1887,2707	100,,: 
100,0,,16,1174,2716,1267,2871	100,,. 
100,0,,16,327,2716,351,2871	99,,،
100,0,,17,2265,2880,2297,3029	90,,. 
100,0,,18,1278,3038,1343,3200	100,,. 
100,0,,19,1859,3209,1889,3355	100,,(
100,0,,19,1748,3209,1815,3355	94,,) 
100,0,,19,1223,3209,1290,3355	100,,، 
100,0,,19,1155,3209,1222,3355	100,,، 
100,0,,20,2423,3364,2456,3535	100,,: 
100,0,,20,2384,3364,2424,3535	100,,«
100,0,,20,511,3364,544,3535	100,,» 
101,0,,1,1737,102,1885,201	90,,- 
101,0,,1,1816,102,1917,201	98,101, 
101,0,,1,1662,102,1977,201	86,,-
101,0,,2,1682,420,1746,577	100,,، 
101,0,,2,865,420,924,577	100,,، 
101,0,,2,513,420,539,577	95,,:
101,0,,3,3140,586,3185,740	84,,«
101,0,,3,1903,586,1994,740	100,,» 
101,0,,3,1160,586,1240,740	100,,. 
101,0,,4,2446,749,2514,903	99,,: 
101,0,,4,2385,749,2446,903	100,,«
101,0,,4,617,749,678,903	100,,» 
101,0,,5,1528,912,1591,1070	92,,، 
101,0,,5,1319,912,1344,1070	100,,(
101,0,,5,1230,912,1281,1070	100,,) 
101,0,,6,2763,1079,2806,1225	100,,: 
101,0,,6,2724,1079,2762,1225	52,,«
101,0,,6,1514,1079,1580,1225	100,,: 
101,0,,6,1460,1079,1514,1225	100,,«
101,0,,7,1242,1234,1302,1384	99,,. 
101,0,,7,862,1234,946,1384	100,,(
101,0,,7,743,1234,820,1384	100,5, 
101,0,,7,636,1234,744,1384	100,,- 
101,0,,8,2235,1393,2298,1544	100,,؛ 
101,0,,8,1064,1393,1092,1544	100,,(
101,0,,8,966,1393,1029,1544	84,,) 
101,0,,8,643,1393,678,1544	100,, 
101,0,,9,2299,1553,2339,1705	100,,.
101,0,,9,1469,1553,1509,1705	100,,(
101,0,,9,1368,1553,1436,1705	100,,) 
101,0,,10,903,1714,964,1868	89,,: 
101,0,,10,860,1714,903,1868	100,,«
101,0,,11,1844,1877,1905,2024	100,,. 
101,0,,11,918,1877,973,2024	100,,، 
101,0,,12,2837,2033,2896,2186	99,,، 
101,0,,12,1893,2033,1926,2186	99,,(
101,0,,12,1790,2033,1855,2186	96,,) 
101,0,,12,1164,2033,1236,2186	98,,، 
101,0,,12,507,2033,533,2186	98,,.
101,0,,13,1257,2195,1328,2359	80,,. 
101,0,,14,776,2368,840,2529	80,,: 
101,0,,15,2703,2538,2769,2687	100,,« 
101,0,,16,2829,2696,2889,2855	100,,، 
101,0,,16,2263,2696,2329,2855	100,,، 
101,0,,17,2492,2864,2519,3011	100,,(
101,0,,17,2384,2864,2451,3011	98,,) 
101,0,,17,2295,2864,2383,3011	100,,، 
101,0,,17,626,2864,693,3011	100,,: 
101,0,,18,1613,3020,1710,3176	100,,: 
101,0,,19,2873,3185,2958,3330	100,,، 
101,0,,19,504,3185,528,3330	99,,.
102,0,,1,1621,102,1752,199	100,, 
102,0,,1,1672,102,1716,199	84,15, 
102,0,,1,1767,102,1767,199	88,2, 
102,0,,1,1513,102,1832,199	68,,-
102,0,,2,2610,446,2679,600	90,,: 
102,0,,2,1791,446,1854,600	80,,، 
102,0,,3,3044,609,3190,761	91,5, 
102,0,,3,2183,609,2250,761	98,,. 
102,0,,3,761,609,785,761	100,,(
102,0,,3,658,609,718,761	84,,) 
102,0,,4,1341,770,1398,924	100,,. 
102,0,,4,922,770,1017,924	100,,(
102,0,,4,815,770,884,924	85,1, 
102,0,,4,714,770,815,924	99,,- 
102,0,,5,2160,933,2178,1076	99,,(
102,0,,5,2055,933,2116,1076	100,,) 
102,0,,5,1081,933,1111,1076	99,,(
102,0,,5,981,933,1036,1076	96,,) 
102,0,,6,2104,1085,2183,1239	92,,؟ 
102,0,,6,2042,1085,2103,1239	100,,. 
102,0,,6,872,1085,896,1239	100,,(
102,0,,6,767,1085,828,1239	100,,) 
102,0,,6,346,1085,370,1239	99,,.
102,0,,8,2671,1411,2731,1557	81,,) 
102,0,,8,1727,1411,1766,1557	96,,، 
102,0,,8,861,1411,967,1557	100,,؟. 
102,0,,9,3045,1566,3183,1720	92,6, 
102,0,,9,1200,1566,1259,1720	100,,. 
102,0,,11,2527,1890,2594,2041	100,,. 
102,0,,11,476,1890,513,2041	100,,(
102,0,,11,371,1890,464,2041	92,1,) 
102,0,,11,346,1890,370,2041	99,,،
102,0,,12,2221,2050,2291,2202	100,,. 
102,0,,13,1735,2211,1805,2361	100,,، 
102,0,,14,2372,2370,2398,2524	96,,(
102,0,,14,2273,2370,2339,2524	100,,) 
102,0,,14,2049,2370,2115,2524	74,,، 
102,0,,14,610,2370,676,2524	100,,. 
102,0,,15,2584,2533,2648,2690	100,,. 
102,0,,15,996,2533,1059,2690	85,,، 
102,0,,16,1090,2699,1150,2847	90,,. 
102,0,,17,2689,2856,2750,3014	79,,، 
102,0,,18,2091,3023,2150,3166	98,,. 
102,0,,18,404,3023,434,3166	100,,(
102,0,,18,346,3023,364,3166	99,,)
102,0,,19,2601,3175,2645,3326	88,,: 
102,0,,19,2559,3175,2602,3326	98,,«
102,0,,20,2024,3335,2106,3522	100,,. 
103,0,,1,1722,102,1949,202	96,153, 
103,0,,2,789,443,828,613	100,,«
103,0,,3,2514,626,2572,783	100,,» 
103,0,,3,1453,626,1546,783	97,,، 
103,0,,3,1361,626,1454,783	100,,(
103,0,,3,1245,626,1321,783	100,6, 
103,0,,3,1130,626,1246,783	100,,- 
103,0,,3,571,626,600,783	81,,(
103,0,,3,496,626,531,783	69,,)
103,0,,4,2906,792,2968,970	100,,: 
103,0,,4,1506,792,1537,970	100,,«
103,0,,4,506,792,531,970	93,,:
103,0,,5,2406,983,2440,1161	99,,،
103,0,,5,1260,983,1308,1161	84,,) 
103,0,,5,1239,983,1260,1161	100,,.
103,0,,5,683,983,718,1161	94,,. 
103,0,,6,2742,1170,2804,1333	100,,) 
103,0,,6,1412,1170,1481,1333	100,,. 
103,0,,6,496,1170,527,1333	100,,)
103,0,,7,2864,1342,2925,1516	94,,، 
103,0,,7,1838,1342,1905,1516	99,,) 
103,0,,8,2059,1539,2135,1712	100,,، 
103,0,,8,494,1539,526,1712	93,,)
103,0,,9,2577,1721,2638,1891	75,,. 
103,0,,9,1313,1721,1337,1891	100,,،
103,0,,10,2181,1900,2243,2073	100,,، 
103,0,,10,1099,1900,1129,2073	90,,.
103,0,,10,342,1900,374,2073	100,7,
103,0,,11,1624,2092,1661,2263	98,,، 
103,0,,11,1013,2092,1038,2263	100,,. 
103,0,,12,847,2272,902,2447	99,,. 
103,0,,13,1850,2460,1911,2621	100,,، 
103,0,,14,1688,2638,1752,2816	100,,؟ 
103,0,,15,2465,2825,2498,2994	100,,،
103,0,,16,2906,3003,2936,3183	100,,. 
103,0,,16,2042,3003,2104,3183	100,,؛ 
103,0,,16,1654,3003,1684,3183	100,,. 
103,0,,17,2303,3194,2382,3367	100,,، 
103,0,,17,689,3194,723,3367	100,,)
103,0,,18,2984,3376,3019,3568	99,,، 
103,0,,18,2127,3376,2147,3568	97,,.
103,0,,18,1379,3376,1463,3568	100,,. 
103,0,,18,999,3376,1089,3568	89,,(
103,0,,18,881,3376,958,3568	100,7, 
103,0,,18,792,3376,882,3568	98,,- 
104,0,,1,1621,99,1735,204	91,, 
104,0,,1,1659,99,1754,204	91,104, 
104,0,,1,1532,99,1802,204	80,,-
104,0,,2,2479,451,2515,624	98,,. 
104,0,,2,2163,451,2187,624	100,,: 
104,0,,2,323,451,354,624	100,,،
104,0,,3,869,633,893,805	100,,،
104,0,,4,2315,844,2346,1005	100,,. 
104,0,,4,324,844,348,1005	96,,.
104,0,,5,1094,1014,1157,1177	97,,) 
104,0,,5,430,1014,492,1177	100,,. 
104,0,,7,3017,1390,3176,1557	98,8, 
104,0,,7,2511,1390,2551,1557	100,,. 
104,0,,7,561,1390,590,1557	100,,: 
104,0,,9,2775,1737,2808,1923	98,,. 
104,0,,9,1694,1737,1727,1923	96,,)
104,0,,10,2414,1936,2445,2097	98,,. 
104,0,,10,1457,1936,1494,2097	100,,، 
104,0,,10,513,1936,563,2097	99,,) 
104,0,,11,1661,2106,1685,2270	81,,، 
104,0,,11,814,2106,867,2270	92,,: 
104,0,,12,2263,2285,2299,2457	100,,،
104,0,,12,786,2285,810,2457	100,,(
104,0,,12,689,2285,743,2457	97,,) 
104,0,,13,2338,2468,2373,2642	99,,. 
104,0,,13,1110,2468,1139,2642	80,,، 
104,0,,13,323,2468,401,2642	100,,.?
104,0,,14,1315,2651,1410,2814	90,,(
104,0,,14,1213,2651,1270,2814	97,7, 
104,0,,14,1111,2651,1213,2814	99,,- 
104,0,,15,2772,2823,2808,2989	100,,. 
104,0,,15,2026,2823,2050,2989	99,,،
104,0,,15,324,2823,354,2989	99,,.
104,0,,16,724,3018,754,3183	99,,. 
104,0,,17,3021,3192,3190,3363	94,1, 
104,0,,17,2076,3192,2144,3363	100,,، 
104,0,,17,737,3192,767,3363	100,,. 
104,0,,18,1215,3372,1249,3551	100,,. 
104,0,,19,1583,3560,1614,3754	98,,. 
104,0,,19,1287,3560,1358,3754	100,,) 
104,0,,19,535,3560,560,3754	100,,(
104,0,,19,432,3560,497,3754	100,,) 
105,0,,1,1837,99,1951,193	89,, 
105,0,,1,1739,99,1889,193	98,1, 
105,0,,2,2172,422,2208,582	98,,، 
105,0,,3,3017,591,3035,759	100,,(
105,0,,3,2915,591,2978,759	88,,) 
105,0,,3,2654,591,2711,759	99,,) 
105,0,,3,2292,591,2349,759	99,,«
105,0,,3,1046,591,1115,759	100,,: 
105,0,,3,1007,591,1045,759	100,,«
105,0,,4,2343,792,2415,961	96,,: 
105,0,,4,2318,792,2342,961	74,,«
105,0,,4,1184,792,1221,961	98,,، 
105,0,,4,1148,792,1184,961	100,,«
105,0,,4,526,792,556,961	100,,،
105,0,,5,3164,970,3206,1151	97,,« 
105,0,,5,1902,970,1972,1151	77,,. 
105,0,,5,920,970,983,1151	82,,: 
105,0,,5,892,970,920,1151	98,,«
105,0,,6,1908,1160,1948,1311	98,,. 
105,0,,6,328,1160,378,1311	100,11,
105,0,,8,1864,1505,1900,1634	100,,، 
105,0,,8,1320,1505,1350,1634	99,,،
105,0,,9,1272,1643,1360,1860	97,,، 
105,0,,10,1956,1869,2037,2048	100,,، 
105,0,,10,816,1869,903,2048	91,,(
105,0,,10,697,1869,778,2048	100,8, 
105,0,,10,629,1869,697,2048	86,,- 
105,0,,11,2888,2057,2956,2227	99,,) 
105,0,,11,2819,2057,2887,2227	100,,، 
105,0,,11,2380,2057,2454,2227	98,,. 
105,0,,12,2942,2236,2962,2403	97,,(
105,0,,12,2844,2236,2903,2403	100,,) 
105,0,,12,2381,2236,2407,2403	100,,(
105,0,,12,2275,2236,2342,2403	100,,) 
105,0,,13,328,2424,380,2609	100,12,
105,0,,14,2685,2624,2743,2801	100,,، 
105,0,,14,1349,2624,1413,2801	96,,، 
105,0,,15,1173,2810,1208,2980	100,,، 
105,0,,16,994,2997,1031,3182	100,,. 
105,0,,17,1970,3191,2026,3368	100,,. 
105,0,,17,840,3191,882,3368	85,,: 
105,0,,18,1781,3377,1815,3579	100,,. 
105,0,,18,328,3377,398,3579	93,3,
106,0,,1,1672,99,1773,201	94,106, 
106,0,,1,1542,99,1820,201	91,,-
106,0,,2,2108,430,2142,595	80,,. 
106,0,,2,1960,430,1980,595	100,,(
106,0,,2,1859,430,1926,595	100,,) 
106,0,,2,1387,430,1454,595	95,,، 
106,0,,2,947,430,1016,595	96,,: 
106,0,,2,907,430,948,595	98,,«
106,0,,3,1736,604,1785,754	98,,. 
106,0,,3,340,604,352,754	62,,.
106,0,,4,1279,763,1352,921	94,,؛ 
106,0,,5,2659,930,2729,1081	100,,) 
106,0,,5,2595,930,2658,1081	98,,. 
106,0,,5,1794,930,1857,1081	87,,، 
106,0,,5,700,930,769,1081	99,,) 
106,0,,5,674,930,699,1081	94,,.
106,0,,6,2409,1396,2509,1591	98,10, 
106,0,,6,2257,1396,2410,1591	100,,- 
106,0,,7,2749,1816,3188,1970	96,1, 
106,0,,10,2844,2330,2893,2489	97,,«
106,0,,10,603,2330,676,2489	100,,» 
106,0,,10,511,2330,602,2489	100,,. 
106,0,,11,1869,2498,1940,2649	95,,. 
106,0,,11,1720,2498,1744,2649	100,,(
106,0,,11,1614,2498,1685,2649	100,,) 
106,0,,12,3038,2658,3189,2809	76,2, 
106,0,,12,2719,2658,2791,2809	97,,. 
106,0,,12,2289,2658,2342,2809	94,,) 
106,0,,12,705,2658,763,2809	100,,، 
106,0,,13,2061,2818,2122,2971	85,,، 
106,0,,13,1533,2818,1595,2971	100,,. 
106,0,,14,2784,2980,2850,3131	100,,. 
106,0,,14,399,2980,417,3131	100,,(
106,0,,14,340,2980,364,3131	93,,)
106,0,,15,2144,3140,2210,3293	100,,، 
106,0,,15,800,3140,826,3293	98,,.
106,0,,16,2467,3302,3184,3441	99,3, 
107,0,,1,1767,99,1890,194	100,, 
107,0,,1,1839,99,1912,194	100,17, 
107,0,,1,1657,99,1967,194	89,,-
107,0,,4,1077,953,1099,1115	81,,(
107,0,,4,1005,953,1033,1115	100,,)
107,0,,5,1273,1206,1356,1377	100,,) 
107,0,,5,348,1206,380,1377	100,4,
107,0,,6,1601,1386,1674,1541	100,,. 
107,0,,6,926,1386,951,1541	99,,(
107,0,,6,815,1386,882,1541	100,,) 
107,0,,6,747,1386,814,1541	96,,: 
107,0,,6,684,1386,746,1541	99,,«
107,0,,7,665,1550,741,1695	82,9, 
107,0,,7,578,1550,665,1695	100,,- 
107,0,,8,3045,1704,3071,1853	100,,(
107,0,,8,2960,1704,3013,1853	99,,) 
107,0,,8,2564,1704,2623,1853	100,,. 
107,0,,8,706,1704,772,1853	100,,. 
107,0,,9,2284,1862,2345,2019	92,,. 
107,0,,10,2045,2028,2085,2170	96,,،
107,0,,11,2900,2179,2962,2331	100,,، 
107,0,,11,1677,2179,1739,2331	100,,، 
107,0,,12,2006,2340,2065,2492	90,,. 
107,0,,12,348,2340,383,2492	100,5,
107,0,,13,2374,2501,2422,2651	100,,: 
107,0,,13,2346,2501,2374,2651	100,,«
107,0,,13,1619,2501,1681,2651	92,,. 
107,0,,13,495,2501,529,2651	100,,)
107,0,,14,2706,2660,2768,2813	100,,) 
107,0,,14,2069,2660,2138,2813	98,,، 
107,0,,14,955,2660,1011,2813	100,,. 
107,0,,16,2917,2981,2969,3134	90,,) 
107,0,,16,2552,2981,2630,3134	99,,.«
107,0,,16,1907,2981,1972,3134	98,,» 
107,0,,17,1734,3143,1796,3293	100,,؛ 
107,0,,18,2950,3302,2969,3491	99,,(
107,0,,18,2878,3302,2911,3491	74,,)
107,0,,18,1596,3302,1622,3491	100,,،
107,0,,18,502,3302,528,3491	96,,.
108,0,,1,1541,100,1688,203	84,,- 
108,0,,1,1460,100,1697,203	98,15, 
108,0,,3,2714,608,2779,786	98,,، 
108,0,,3,792,608,864,786	86,,. 
108,0,,4,2736,795,2809,971	100,,(
108,0,,4,2608,795,2706,971	92,9,-
108,0,,4,2474,795,2534,971	100,,) 
108,0,,4,1497,795,1533,971	100,,،
108,0,,4,972,795,1014,971	100,,)
108,0,,5,2044,984,2099,1159	100,,، 
108,0,,6,3014,1168,3208,1343	98,6, 
108,0,,6,1686,1168,1722,1343	100,,. 
108,0,,7,2055,1358,2120,1530	100,,. 
108,0,,7,2009,1358,2055,1530	100,,«
108,0,,7,508,1358,560,1530	100,,» 
108,0,,7,449,1358,507,1530	100,,: 
108,0,,8,1881,1539,1913,1711	100,,«
108,0,,8,1277,1539,1339,1711	86,,. 
108,0,,9,2180,1730,2198,1909	100,,(
108,0,,9,2077,1730,2141,1909	78,,) 
108,0,,9,1679,1730,1749,1909	99,,. 
108,0,,9,1634,1730,1679,1909	91,,«
108,0,,9,434,1730,466,1909	100,,،
108,0,,10,2142,1922,2212,2089	100,,. 
108,0,,11,1049,2106,1079,2272	98,,،
108,0,,12,3020,2281,3134,2459	100,, 
108,0,,12,2220,2281,2262,2459	54,,)
108,0,,12,1281,2281,1317,2459	100,,. 
108,0,,14,2162,2658,2228,2838	100,,. 
108,0,,14,1470,2658,1503,2838	88,,(
108,0,,14,1379,2658,1431,2838	98,,) 
108,0,,14,1036,2658,1101,2838	100,,، 
108,0,,15,1780,2873,1847,3036	98,,. 
108,0,,15,1061,2873,1135,3036	100,,: 
108,0,,16,2502,3045,2527,3215	100,,(
108,0,,16,2409,3045,2464,3215	98,,) 
108,0,,16,1820,3045,1882,3215	94,,، 
108,0,,16,850,3045,875,3215	100,,(
108,0,,16,738,3045,812,3215	97,,) 
108,0,,16,681,3045,737,3215	100,,. 
108,0,,17,1232,3224,1251,3387	100,,(
108,0,,17,1163,3224,1188,3387	100,,)
108,0,,18,2766,3396,2802,3585	96,,. 
108,0,,18,1603,3396,1633,3585	91,,،
109,0,,1,1799,99,1930,199	100,, 
109,0,,1,1695,99,1988,199	96,109,-
109,0,,2,2854,412,2921,591	100,,. 
109,0,,2,2089,412,2182,591	100,,(
109,0,,2,1970,412,2050,591	92,0, 
109,0,,2,1878,412,1970,591	100,,- 
109,0,,2,1066,412,1126,591	100,,، 
109,0,,3,2476,600,2540,759	100,,، 
109,0,,3,1049,600,1114,759	90,,. 
109,0,,3,502,600,535,759	99,,)
109,0,,4,1595,770,1662,947	100,,، 
109,0,,5,2488,970,2552,1130	100,,، 
109,0,,5,1868,970,1887,1130	98,,(
109,0,,5,1763,970,1828,1130	94,,) 
109,0,,5,1046,970,1111,1130	100,,. 
109,0,,6,2822,1139,2891,1306	99,,؟ 
109,0,,6,1843,1139,1874,1306	89,,، 
109,0,,7,2907,1323,2970,1481	99,,. 
109,0,,7,2635,1323,2691,1481	100,,) 
109,0,,7,1222,1323,1279,1481	100,,: 
109,0,,8,2623,1490,2678,1669	100,,: 
109,0,,8,1545,1490,1588,1669	100,,«
109,0,,9,1968,1678,2024,1849	94,,، 
109,0,,10,2271,1858,2312,2030	100,,، 
109,0,,11,1504,2043,1546,2210	99,,: 
109,0,,11,1473,2043,1503,2210	100,,«
109,0,,12,2592,2219,2635,2388	100,,، 
109,0,,12,2557,2219,2592,2388	100,,: 
109,0,,12,1048,2219,1112,2388	95,,) 
109,0,,12,749,2219,771,2388	98,,(
109,0,,12,685,2219,714,2388	99,,)
109,0,,13,942,2397,978,2569	100,,،
109,0,,14,1989,2578,2020,2746	99,,، 
109,0,,14,1011,2578,1049,2746	100,,.
109,0,,15,1068,2755,1117,2927	100,,، 
109,0,,16,2728,2936,2767,3112	100,,،
109,0,,16,1370,2936,1415,3112	100,,. 
109,0,,16,913,2936,932,3112	69,,(
109,0,,16,835,2936,874,3112	100,,)
109,0,,17,335,3125,372,3285	83,8,
109,0,,18,1482,3294,1570,3464	100,,(
109,0,,18,1366,3294,1448,3464	100,0, 
